Fecha,Esperado,Actual
2020-10-12,47,47
2020-10-13,47,47
2020-10-14,47,47
2020-10-15,47,47
2020-10-16,47,47
2020-10-17,47,NaN
2020-10-18,42,NaN
2020-10-19,42,NaN
2020-10-20,42,NaN
2020-10-21,42,NaN
2020-10-22,42,NaN
2020-10-23,42,NaN
2020-10-24,34,NaN
2020-10-25,26,NaN
2020-10-26,26,NaN
2020-10-27,26,NaN
2020-10-28,26,NaN
2020-10-29,26,NaN
2020-10-30,26,NaN
2020-10-31,18,NaN
2020-11-01,10,NaN
2020-11-02,10,NaN
2020-11-03,10,NaN
2020-11-04,0,NaN
2020-11-05,NaN,NaN
2020-11-06,NaN,NaN
2020-11-07,NaN,NaN
2020-11-08,NaN,NaN
2020-11-09,NaN,NaN
2020-11-10,NaN,NaN
2020-11-11,NaN,NaN
2020-11-12,NaN,NaN
2020-11-13,NaN,NaN
